user_id,purchase_date,item_id
2fdb3958-ffc9-4b84-a49d-5f9f40e9469e,12/20/2017,26
2fdb3958-ffc9-4b84-a49d-5f9f40e9469e,12/20/2017,24
3a3e5fe6-39a7-4068-8009-3b9f649cb1aa,12/20/2017,7
3a3e5fe6-39a7-4068-8009-3b9f649cb1aa,12/20/2017,6
3a3e5fe6-39a7-4068-8009-3b9f649cb1aa,12/20/2017,12
3a3e5fe6-39a7-4068-8009-3b9f649cb1aa,12/20/2017,26
3a3e5fe6-39a7-4068-8009-3b9f649cb1aa,12/20/2017,2
b1bf3547-0c44-4371-907f-31bc75b9c593,12/20/2017,12
b1bf3547-0c44-4371-907f-31bc75b9c593,12/20/2017,17
b1bf3547-0c44-4371-907f-31bc75b9c593,12/20/2017,26
b1bf3547-0c44-4371-907f-31bc75b9c593,12/20/2017,2
313624e5-5331-4a05-ad3a-96786c3162a9,12/20/2017,27
313624e5-5331-4a05-ad3a-96786c3162a9,12/20/2017,7
313624e5-5331-4a05-ad3a-96786c3162a9,12/20/2017,16
313624e5-5331-4a05-ad3a-96786c3162a9,12/20/2017,22
313624e5-5331-4a05-ad3a-96786c3162a9,12/20/2017,32
c7de0c37-4809-4944-bebb-e1ab7a13747b,12/20/2017,20
c7de0c37-4809-4944-bebb-e1ab7a13747b,12/20/2017,18
175ca7ed-f9ef-4299-b7b5-3da5efc702a8,12/20/2017,4
175ca7ed-f9ef-4299-b7b5-3da5efc702a8,12/20/2017,18
175ca7ed-f9ef-4299-b7b5-3da5efc702a8,12/20/2017,17
175ca7ed-f9ef-4299-b7b5-3da5efc702a8,12/20/2017,19
175ca7ed-f9ef-4299-b7b5-3da5efc702a8,12/20/2017,23
17ec81d5-287d-41ea-9dcb-217d3af3b8f8,12/20/2017,10
022c0ce1-7432-40f5-8e79-e70acb004709,12/20/2017,5
022c0ce1-7432-40f5-8e79-e70acb004709,12/20/2017,25
022c0ce1-7432-40f5-8e79-e70acb004709,12/20/2017,10
ca8516f7-6970-4d29-b32d-2928248ecd44,12/20/2017,0
ca8516f7-6970-4d29-b32d-2928248ecd44,12/20/2017,1
ca8516f7-6970-4d29-b32d-2928248ecd44,12/20/2017,2
9e749aed-8223-4572-8bb7-e8df654eac16,12/20/2017,22
3cc320ca-6888-464f-bd15-ec81c6353e79,12/20/2017,21
5f8c0b7d-03a6-4bf1-8817-c15d1863551f,12/20/2017,14
5f8c0b7d-03a6-4bf1-8817-c15d1863551f,12/20/2017,22
b083e439-1650-43c7-91b3-15e2fbd2c1f5,12/20/2017,5
b083e439-1650-43c7-91b3-15e2fbd2c1f5,12/20/2017,24
3f28469b-e5bb-4397-b7f8-791e336676aa,12/20/2017,29
3f28469b-e5bb-4397-b7f8-791e336676aa,12/20/2017,19
8f00ad28-c8d7-4f5d-8f43-528e5e95a2f5,12/20/2017,29
2d750d82-fd55-488f-a2f7-6fcc54ed666d,12/20/2017,26
e5cc68dc-5c33-47d5-8c7d-e24adaa61b6a,12/21/2017,3
e5cc68dc-5c33-47d5-8c7d-e24adaa61b6a,12/21/2017,14
e5cc68dc-5c33-47d5-8c7d-e24adaa61b6a,12/21/2017,22
e5cc68dc-5c33-47d5-8c7d-e24adaa61b6a,12/21/2017,24
6cd159af-5e3d-48e1-a6da-875d4a0c7ec7,12/21/2017,29
6cd159af-5e3d-48e1-a6da-875d4a0c7ec7,12/21/2017,11
6cd159af-5e3d-48e1-a6da-875d4a0c7ec7,12/21/2017,2
6cd159af-5e3d-48e1-a6da-875d4a0c7ec7,12/21/2017,0
6cd159af-5e3d-48e1-a6da-875d4a0c7ec7,12/21/2017,25
9d8d2721-820c-4ff1-a96a-fb3c65e9587b,12/21/2017,21
23b5244a-e2e5-4559-91f6-e04372d52723,12/21/2017,9
f7608e0e-f1b1-4a44-bf7a-1421a5dfbc0c,12/21/2017,13
f7608e0e-f1b1-4a44-bf7a-1421a5dfbc0c,12/21/2017,6
f7608e0e-f1b1-4a44-bf7a-1421a5dfbc0c,12/21/2017,5
f7608e0e-f1b1-4a44-bf7a-1421a5dfbc0c,12/21/2017,19
f7608e0e-f1b1-4a44-bf7a-1421a5dfbc0c,12/21/2017,28
ef591a51-0b40-4a62-bb69-ae5bda94a06c,12/21/2017,4
ef591a51-0b40-4a62-bb69-ae5bda94a06c,12/21/2017,26
ef591a51-0b40-4a62-bb69-ae5bda94a06c,12/21/2017,30
ef591a51-0b40-4a62-bb69-ae5bda94a06c,12/21/2017,2
ef591a51-0b40-4a62-bb69-ae5bda94a06c,12/21/2017,27
1fe02ce7-c174-45df-8eaa-52952f3c2f31,12/21/2017,16
1fe02ce7-c174-45df-8eaa-52952f3c2f31,12/21/2017,27
1fe02ce7-c174-45df-8eaa-52952f3c2f31,12/21/2017,12
ce2eb6ae-27eb-48ca-8efe-b10fd6b55db8,12/21/2017,10
ce2eb6ae-27eb-48ca-8efe-b10fd6b55db8,12/21/2017,4
ce2eb6ae-27eb-48ca-8efe-b10fd6b55db8,12/21/2017,9
ce2eb6ae-27eb-48ca-8efe-b10fd6b55db8,12/21/2017,25
0ae74a0e-a91c-4db9-8ee2-8d945fa93cde,12/21/2017,19
0ae74a0e-a91c-4db9-8ee2-8d945fa93cde,12/21/2017,2
0ae74a0e-a91c-4db9-8ee2-8d945fa93cde,12/21/2017,15
0ae74a0e-a91c-4db9-8ee2-8d945fa93cde,12/21/2017,28
0ae74a0e-a91c-4db9-8ee2-8d945fa93cde,12/21/2017,11
bdf0c7cc-e458-4032-94f3-45bff3aad658,12/21/2017,17
bdf0c7cc-e458-4032-94f3-45bff3aad658,12/21/2017,11
bdf0c7cc-e458-4032-94f3-45bff3aad658,12/21/2017,29
bdf0c7cc-e458-4032-94f3-45bff3aad658,12/21/2017,12
bdf0c7cc-e458-4032-94f3-45bff3aad658,12/21/2017,19
1ad079f9-8cbd-4de4-977b-39a79251e312,12/21/2017,19
1ad079f9-8cbd-4de4-977b-39a79251e312,12/21/2017,15
1ad079f9-8cbd-4de4-977b-39a79251e312,12/21/2017,18
1ad079f9-8cbd-4de4-977b-39a79251e312,12/21/2017,3
1cb3d210-f82b-4ea0-82ab-86072b309357,12/21/2017,22
1cb3d210-f82b-4ea0-82ab-86072b309357,12/21/2017,23
1cb3d210-f82b-4ea0-82ab-86072b309357,12/21/2017,13
1cb3d210-f82b-4ea0-82ab-86072b309357,12/21/2017,14
bdbb7b5f-47d5-42fe-a1b5-6b9ea2b2831d,12/21/2017,18
bdbb7b5f-47d5-42fe-a1b5-6b9ea2b2831d,12/21/2017,27
bdbb7b5f-47d5-42fe-a1b5-6b9ea2b2831d,12/21/2017,3
bdbb7b5f-47d5-42fe-a1b5-6b9ea2b2831d,12/21/2017,11
76396716-389e-435c-b84b-c2c818bbfdbc,12/21/2017,27
76396716-389e-435c-b84b-c2c818bbfdbc,12/21/2017,5
